Componente,Modelo,Preco
SSD,Kingston A400 240GB,299.90
SSD,WD Blue SN550 1TB,849.90
SSD,Samsung 970 EVO Plus 500GB,999.90
SSD,Crucial P5 2TB,3249.90
SSD,SSD 500GB,500.90
