Componente,Modelo,Preco
Fonte,Corsair CV450 450W,349.90
Fonte,Cooler Master MWE 750W,699.90
Fonte,Thermaltake Smart BX1 RGB 750W,799.90
Fonte,Corsair RM850x 850W
