Componente,Modelo,Preco
Placa de video,GeForce GTX 1660,2599.90
Placa de video,GeForce GTX 1650,1849.90
Placa de video,Radeon RX 550,789.90
Placa de video,Radeon RX 580,2999.90
Placa de video,NVIDIA GeForce GTX 1660,12499.90
